id,lower_bound,upper_bound
49959,-91.1773683930462,316.29454041578316
59247,-34.73978746110649,372.7321213477229
6021,-58.639252163744345,348.832656645085
47067,-118.77335485705835,288.69855395177103
33895,-62.64410771922195,344.8278010896074
30893,-118.77335485705835,288.69855395177103
68450,-56.69450542801275,350.7774033808166
17565,-19.992759362439557,387.4791494463898
49010,-115.32622723737202,292.1456815714573
36613,-67.51857709148544,339.95333171734393
20727,-94.62449601273252,312.8474127960968
57168,-63.27967601874147,344.1922327900879
47251,-109.27778014742736,298.19412866140203
9089,-73.40821579395075,334.0636930148786
15087,-118.77335485705835,288.69855395177103
57202,-17.101817671628737,390.37009113720063
40073,-53.76146019246585,353.7104486163635
23420,-115.32622723737202,292.1456815714573
41401,171.2721143017899,578.7440231106193
37691,-51.70627952137767,355.7656292874517
60842,-58.639252163744345,348.832656645085
18452,-116.33526975233264,291.13663905649673
50957,-118.71559536184469,288.7563134469847
62489,-53.8529732603877,353.61893554844164
10001,-73.40821579395075,334.0636930148786
52745,-34.72604667254865,372.7458621362807
13947,36.50464229842024,443.97655110724963
34559,35.91127525167292,443.3831840605023
35392,39.53715877500338,447.00906758383275
34104,-18.588645423957075,388.8832633848723
59671,-118.77335485705835,288.69855395177103
26057,-62.64410771922195,344.8278010896074
23366,-116.33526975233264,291.13663905649673
17934,-118.71559536184469,288.7563134469847
60283,-93.29161466398865,314.18029414484073
14875,-6.693771918511288,400.7781368903181
37015,-115.0507412548851,292.42116755394426
26056,-62.64410771922195,344.8278010896074
53765,-52.65738460043258,354.8145242083968
31916,-73.42195658250859,334.0499522263208
27554,-118.77335485705835,288.69855395177103
4989,-96.18830008576397,311.2836087230654
55596,-38.88081782059936,368.59109098823
66983,-116.33526975233264,291.13663905649673
50077,-57.711942265679,349.75996654315037
50962,-69.41710102703098,338.0548077817984
61719,218.03271720399383,625.5046260128232
9899,-24.566475706936842,382.9054331018925
65755,-32.32455491374233,375.147353895087
17120,-29.35275349868587,378.11915531014347
17278,189.29675064179318,596.7686594506225
351,-90.35640659485155,317.11550221397783
5888,-116.27751025711898,291.1943985517104
63975,-67.97269588688093,339.49921292194847
22102,99.68881573465526,507.16072454348466
4005,-118.77335485705835,288.69855395177103
33331,9.16928767358317,416.6411964824125
44773,85.45147263350057,492.92338144232997
6240,-101.04007042711825,306.43183838171115
40419,-52.65738460043258,354.8145242083968
47824,-118.77335485705835,288.69855395177103
67155,-118.77335485705835,288.69855395177103
55349,83.688482844876,491.16039165370535
48703,-95.04131505807882,312.4305937507505
31877,-107.81730914995894,299.65459965887044
9481,-46.9478341909502,360.52407461787914
63203,60.95226617331011,468.42417498213945
48223,-118.71559536184469,288.7563134469847
66796,-30.734931905628883,376.73697690320046
24240,33.40095869585005,440.87286750467945
7650,-52.74961346127904,354.72229534755036
54364,51.503362720784,458.97527152961334
7248,-118.77335485705835,288.69855395177103
32436,-62.936601117168436,344.53530769166093
40218,-116.33526975233264,291.13663905649673
28130,-73.40821579395075,334.0636930148786
48567,-118.77335485705835,288.69855395177103
24051,-58.639252163744345,348.832656645085
23347,-90.35640659485155,317.11550221397783
21232,-93.29161466398865,314.18029414484073
16917,-112.88814213264631,294.5837666761831
54276,-73.42195658250859,334.0499522263208
61118,98.40941007109214,505.88131887992154
65030,-76.60188570921264,330.87002309961673
25254,-20.234408568204515,387.23750024062485
24388,-29.35275349868587,378.11915531014347
6191,-46.9704694658665,360.50143934296284
55202,-58.639252163744345,348.832656645085
2487,136.78945553912249,544.2613643479518
59904,32.894335117991005,440.3662439268204
74024,-95.72969976871437,311.742209040115
48920,-67.51857709148544,339.95333171734393
73791,-102.50693849155506,304.9649703172743
48907,-9.677233669407059,397.79467513942234
29490,-118.71559536184469,288.7563134469847
1299,-118.77335485705835,288.69855395177103
44690,-101.04007042711825,306.43183838171115
61816,-118.77335485705835,288.69855395177103
27807,-65.28003199853336,342.191876810296
8149,-63.939684943065856,343.5322238657635
49431,-57.20858781215213,350.26332099667724
14727,-115.32622723737202,292.1456815714573
10921,-118.72933615040255,288.7425726584268
46571,-34.72604667254865,372.7458621362807
72114,-104.56211916264326,302.90978964618614
20315,-25.21274384270339,382.259164966126
19942,38.56562220680266,446.037531015632
22554,-39.27812452851296,368.19378428031644
37401,-58.639252163744345,348.832656645085
73809,-10.13739234166627,397.3345164671631
27515,-76.03595240557678,331.4359564032526
11629,196.33713251028868,603.809041319118
19190,-0.2608057592400428,407.2111030495893
62047,-115.32622723737202,292.1456815714573
10230,-42.27018594507203,365.20172286375737
66592,-43.796531579165105,363.67537722966426
46304,-115.0507412548851,292.42116755394426
35673,-67.51857709148544,339.95333171734393
21404,-95.72969976871437,311.742209040115
52635,-24.17011640675497,383.3017924020744
66800,-115.32622723737202,292.1456815714573
67070,-95.72969976871437,311.742209040115
11588,329.3226134655441,736.7945222743734
